OGLE-LMC-DPV-112 LMC176.1  52920 05:40:51.35 -70:01:15.9 LMC_SC18_103750                          
OGLE-LMC-DPV-113 LMC177.4  61023 05:41:02.02 -70:11:04.3 LMC_SC18_92815  76.9842.2444             
OGLE-LMC-DPV-114 LMC176.1  52959 05:41:09.27 -70:02:21.7 LMC_SC18_103725 76.9844.110              
OGLE-LMC-DPV-115 LMC176.3  45027 05:41:16.71 -69:43:45.9                                          
OGLE-LMC-DPV-116 LMC176.4  12707 05:41:29.32 -69:38:22.8                                          
OGLE-LMC-DPV-117 LMC181.7  14156 05:42:05.73 -68:10:08.9                                          
OGLE-LMC-DPV-118 LMC183.5    309 05:42:40.67 -69:05:00.1                                          
OGLE-LMC-DPV-119 LMC178.3  24191 05:43:49.98 -70:57:42.7 LMC_SC19_105615 15.10314.144             
OGLE-LMC-DPV-120 LMC179.4  17311 05:44:26.47 -71:24:29.5                                          
OGLE-LMC-DPV-121 LMC182.4    427 05:45:15.22 -68:25:52.0                                          
OGLE-LMC-DPV-122 LMC185.4  42631 05:48:04.59 -70:08:49.1                                          
OGLE-LMC-DPV-123 LMC191.5  18338 05:51:10.55 -69:34:17.5                                          
OGLE-LMC-DPV-124 LMC192.7  25213 05:52:08.83 -70:31:39.7                                          
OGLE-LMC-DPV-125 LMC212.5    109 06:08:11.24 -68:59:51.0                                          
OGLE-LMC-DPV-126 LMC126.3    159 05:00:22.60 -68:37:41.1 LMC_SC15_52752  18.3210.91             
OGLE-LMC-DPV-127 LMC119.7    865 05:03:04.39 -69:22:22.3 LMC_SC14_7764                          
OGLE-LMC-DPV-128 LMC118.7  21844 05:05:11.50 -68:47:11.9 LMC_SC13_30576                         
OGLE-LMC-DPV-129 LMC118.1     73 05:06:28.66 -68:56:40.9 LMC_SC13_156235 1.4174.104             
OGLE-LMC-DPV-130 LMC118.3  47299 05:07:09.02 -68:30:33.1 LMC_SC13_257469                        
OGLE-LMC-DPV-131 LMC110.7  51372 05:10:27.12 -68:43:57.7 LMC_SC10_69145  2.4903.2543            
OGLE-LMC-DPV-132 LMC111.2     58 05:13:26.00 -69:22:07.4 LMC_SC9_121681                         
OGLE-LMC-DPV-133 LMC111.1  77759 05:15:32.91 -69:26:22.6 LMC_SC8_28049                          
OGLE-LMC-DPV-134 LMC104.4  80315 05:22:14.75 -70:10:58.1 LMC_SC21_188107 6.6817.260             
OGLE-LMC-DPV-135 LMC162.7 108897 05:24:39.14 -69:50:40.9 LMC_SC5_381551                         
OGLE-LMC-DPV-136 LMC163.4 105144 05:28:14.04 -70:09:45.1 LMC_SC3_125668                         
OGLE-LMC-DPV-137 LMC177.1  40158 05:40:08.97 -70:37:17.9 LMC_SC17_194685 11.9715.85             
