OGLE-SMC-LPV-00185  SMC138.8   3691  OSARG O  00:23:52.16 -74:11:41.2                                      
OGLE-SMC-LPV-00186  SMC138.5   4287  OSARG O  00:23:54.46 -73:45:11.1                                      
OGLE-SMC-LPV-00187  SMC138.7   3930  OSARG O  00:23:56.14 -73:59:26.3                                      
OGLE-SMC-LPV-00188  SMC135.6     26  OSARG O  00:23:57.33 -73:16:27.1                                      
OGLE-SMC-LPV-00189  SMC135.7   2845  Mira  O  00:23:57.60 -73:25:42.4                                      
OGLE-SMC-LPV-00190  SMC138.5   4555  Mira  C  00:23:58.50 -73:37:54.9                                      
OGLE-SMC-LPV-00191  SMC136.5     21  OSARG O  00:24:01.13 -72:28:53.3                                      
OGLE-SMC-LPV-00192  SMC139.8   1520  OSARG O  00:24:02.03 -74:42:18.4                                      
OGLE-SMC-LPV-00193  SMC139.5   2353  OSARG O  00:24:02.33 -74:14:57.9                                      
OGLE-SMC-LPV-00194  SMC138.6   4011  OSARG C  00:24:02.82 -73:48:13.1                                      
OGLE-SMC-LPV-00195  SMC139.8   1521  OSARG O  00:24:04.82 -74:44:47.2                                      
OGLE-SMC-LPV-00196  SMC136.6     45  OSARG O  00:24:06.99 -72:36:24.4                                      
OGLE-SMC-LPV-00197  SMC138.5   4329  OSARG O  00:24:07.46 -73:38:15.7                                      
OGLE-SMC-LPV-00198  SMC138.6   4072  OSARG O  00:24:09.47 -73:46:52.5                                      
OGLE-SMC-LPV-00199  SMC138.8   3695  OSARG O  00:24:09.70 -74:08:58.4                                      
OGLE-SMC-LPV-00200  SMC139.6   1981  SRV   C  00:24:09.81 -74:29:17.6                                      
OGLE-SMC-LPV-00201  SMC135.7   2854  OSARG O  00:24:10.07 -73:24:11.9                                      
OGLE-SMC-LPV-00202  SMC135.5   2154  OSARG O  00:24:10.16 -73:04:38.0                                      
OGLE-SMC-LPV-00203  SMC136.5     23  SRV   O  00:24:11.07 -72:27:15.4                                      
OGLE-SMC-LPV-00204  SMC135.5   2134  OSARG O  00:24:11.73 -73:05:14.6                                      
OGLE-SMC-LPV-00205  SMC136.8      4  OSARG O  00:24:13.00 -72:53:50.8                                      
OGLE-SMC-LPV-00206  SMC139.4     19  OSARG C  00:24:16.19 -74:19:22.7                                      
OGLE-SMC-LPV-00207  SMC135.6   2387  OSARG O  00:24:16.60 -73:16:42.2                                      
OGLE-SMC-LPV-00208  SMC140.4  13171  OSARG O  00:24:17.59 -71:48:50.2                                      
OGLE-SMC-LPV-00209  SMC135.8   3120  OSARG O  00:24:18.43 -73:31:53.2                                      
OGLE-SMC-LPV-00210  SMC138.7   3937  OSARG O  00:24:19.06 -73:59:54.0                                      
OGLE-SMC-LPV-00211  SMC135.6   2388  OSARG O  00:24:20.01 -73:17:59.7                                      
OGLE-SMC-LPV-00212  SMC135.7   2848  SRV   C  00:24:20.28 -73:25:07.9                                      
OGLE-SMC-LPV-00213  SMC135.8   3250  Mira  C  00:24:20.36 -73:36:11.3                                      
OGLE-SMC-LPV-00214  SMC140.3  43959  OSARG O  00:24:21.17 -71:57:55.1                                      
OGLE-SMC-LPV-00215  SMC138.6   4037  OSARG O  00:24:21.56 -73:51:17.7                                      
OGLE-SMC-LPV-00216  SMC136.7      7  SRV   C  00:24:21.91 -72:44:05.6                                      
OGLE-SMC-LPV-00217  SMC138.7   3967  OSARG O  00:24:25.70 -74:03:24.9                                      
