OGLE-LMC-ECL-00100  ED   04:36:28.37 -68:21:38.4  LMC547.08.301    LMC154.1.585    -                   
OGLE-LMC-ECL-00101  ED   04:36:28.88 -68:12:47.3  LMC547.08.4432   LMC154.2.254    -                   
OGLE-LMC-ECL-00102  ED   04:36:29.15 -69:40:26.0  LMC538.22.7636   LMC150.5.264    -                   
OGLE-LMC-ECL-00103  ED   04:36:30.29 -67:09:27.1  LMC540.25.3935   LMC152.8.3054   -                   
OGLE-LMC-ECL-00104  ED   04:36:33.11 -68:49:12.5  LMC539.14.6899   LMC155.1.4955   -                   
OGLE-LMC-ECL-00105  ED   04:36:33.61 -69:19:01.0  LMC538.30.8695   LMC156.2.7113   -                   
OGLE-LMC-ECL-00106  ED   04:36:35.35 -67:31:19.4  LMC540.16.4334   LMC153.7.3983   -                   
OGLE-LMC-ECL-00107  ED   04:36:38.04 -67:08:48.0  -                LMC152.8.2838   -                   
OGLE-LMC-ECL-00108  ED   04:36:38.33 -68:43:42.8  LMC539.14.7613   LMC155.2.6003   -                   
OGLE-LMC-ECL-00109  ED   04:36:38.92 -69:27:01.2  LMC538.30.566    LMC149.8.214    -                   
OGLE-LMC-ECL-00110  ED   04:36:39.47 -68:16:41.7  LMC547.08.501    LMC154.1.276    -                   
OGLE-LMC-ECL-00111  ED   04:36:43.94 -66:36:11.2  LMC548.18.2729   LMC152.5.2309   -                   
OGLE-LMC-ECL-00112  ED   04:36:43.98 -69:19:23.4  LMC538.30.8655   LMC149.7.1038   -                   
OGLE-LMC-ECL-00113  ED   04:36:44.33 -69:54:20.6  LMC538.22.232    LMC150.7.334    -                   
OGLE-LMC-ECL-00114  ED   04:36:45.54 -66:46:35.5  LMC548.18.347    LMC152.6.2917   -                   
OGLE-LMC-ECL-00115  ED   04:36:46.70 -69:22:55.3  LMC538.30.8288   LMC149.7.1063   -                   
OGLE-LMC-ECL-00116  ED   04:36:47.03 -67:34:24.6  LMC540.16.3936   LMC153.7.3347   -                   
OGLE-LMC-ECL-00117  ED   04:36:49.29 -70:20:53.5  LMC538.05.7202   LMC151.6.5225   -                   
OGLE-LMC-ECL-00118  ED   04:36:52.19 -68:00:19.9  LMC547.17.197    LMC154.3.274    -                   
OGLE-LMC-ECL-00119  ED   04:36:55.91 -68:22:18.7  -                LMC154.1.1194   -                   
OGLE-LMC-ECL-00120  ED   04:36:59.36 -69:35:29.8  LMC538.30.961    LMC150.5.1365   -                   
OGLE-LMC-ECL-00121  ED   04:37:00.46 -68:07:20.0  LMC547.08.4605   LMC154.2.357    -                   
OGLE-LMC-ECL-00122  ED   04:37:01.18 -68:36:32.2  LMC539.23.421    LMC155.3.5449   -                   
OGLE-LMC-ECL-00123  ED   04:37:01.98 -69:52:44.3  LMC538.22.19     LMC150.7.36     -                   
OGLE-LMC-ECL-00124  ED   04:37:02.27 -69:14:00.7  LMC539.06.833    LMC149.6.629    -                   
OGLE-LMC-ECL-00125  ED   04:37:03.31 -69:22:55.8  LMC538.30.6943   LMC149.7.112    -                   
OGLE-LMC-ECL-00126  ED   04:37:06.79 -68:21:13.4  LMC547.08.708    LMC154.1.1285   -                   
OGLE-LMC-ECL-00127  ED   04:37:08.25 -69:06:55.1  LMC539.06.7979   LMC149.6.265    -                   
OGLE-LMC-ECL-00128  ED   04:37:08.40 -67:47:42.1  LMC540.07.5505   LMC154.4.1130   -                   
OGLE-LMC-ECL-00129  ED   04:37:08.78 -68:41:09.7  LMC539.23.943    LMC155.2.6240   -                   
OGLE-LMC-ECL-00130  ED   04:37:11.04 -69:25:52.5  LMC538.30.7922   LMC149.8.1320   -                   
OGLE-LMC-ECL-00131  ED   04:37:15.98 -68:18:45.0  LMC539.31.553    LMC154.1.736    -                   
